as400,当今世界上最流行的中小型、多用户商业计算机系统
t-sql,transact sql
informatica,数据管理工具
teradata,数据仓库软件
lucene.net,.net平台下的搜索引擎
mysql,常用的关系型数据库
aws,亚马逊云服务
automation anywhere,一款针对商业以及IT的任务自动执行工具
c#,.net平台的重要开发语言
carbondata,apache carbondata是一种新的大数据文件格式，使用先进的柱状存储、索引、压缩和编码技术，实现更快的交互式查询，从而提高计算效率，这有助于提高pb级数据的查询速度。
olingo,apache olingo是一个实现开放数据协议（odata）的java库
team leader,团队leader
tomcat,java平台常用的web服务器
hyper-v,微软的一款虚拟化产品，是微软第一个采用类似Vmware ESXi和Citrix Xen的基于hypervisor的技术。
实时系统,指系统能及时响应外部事件的请求，在规定的时间内完成对该事件的处理，并控制所有实时任务协调一致的运行。
excalibur,apache excalibur是apache avalon的前身，它托管avalon框架、java容器框架、excalibur和fortress控制反转容器以及一个丰富的组件库。excalibur代码为apache james和cocoon以及许多其他开源和商业项目提供了支持。
linkedin norbert,集群管理器;
citrix,涉及云计算虚拟化、虚拟桌面和远程接入技术领域的高科技企业
fortress,apache fortress是一个基于标准的授权系统，用java编写，它使用ldap后端提供基于角色的访问控制、委托管理和密码策略服务。
ux,User experience的缩写
backbonejs,为复杂Javascript应用程序提供模型(models)、集合(collections)、视图(views)的结构。其中模型用于绑定键值数据和自定义事件；集合附有可枚举函数的丰富API； 视图可以声明事件处理函数，并通过RESTful JSON接口连接到应用程序
sling,一个自然语言框架语义解析器
servlet,
finagle,jvm的异步网络堆栈。
推荐算法,利用用户的一些行为，通过一些数学算法，推测出用户可能喜欢的东西。
plot.ly,易于使用的web服务，它允许快速创建从热图到直方图等复杂的图表，使用图表plotly的在线电子表格上传数据进行创建和设计;
禅道,一款国产项目管理软件
cosbench,一款性能测试工具
bluiecoat,上网行为管理系统
ba,business analysis
elasticsearch,基于lucene的搜索和分析引擎
theano,深度学习框架之一
线程池,一种多线程处理形式，处理过程中将任务添加到队列，然后在创建线程后自动启动这些任务。
insurance,
测试,
系统管理,
linux,一种操作系统
junit,java平台的单元测试工具
rhce,Red Hat Certified Engineer（红帽认证工程师）
convnetjs,javascript中的机器学习，在浏览器中训练卷积神经网络(或普通网络);
thrift,构建二进制协议的框架;
vant,基于vue的移动组件库
react,Red Hat Certified Engineer，红帽认证工程师
airflow,工作流自动化和调度，可用于编写和管理数据管道
brpc,brpc是一个用于构建可靠和高性能服务的工业级rpc框架。
vmware,使用针对现代应用、多云、数字化工作空间、安全和网络的 VMware 解决方案构建数字化基础，以在任何设备和任何云环境中运行任何应用。
asp.net,基于.NET Framework的Web开发平台
函数式编程,种编程方式，它将电脑运算视为函数的计算。函数编程语言最重要的基础是λ演算（lambda calculus），而且λ演算的函数可以接受函数当作输入（参数）和输出（返回值）。
taskflow,UNIT推出的新一代对话管理技术，开发者可通过简洁直观的图形化配置(后续版本升级提供，目前通过配置文件完成配置)，高效定制属于自己的对话管理能力。
abs,Asset-backed Securities的缩写，即信贷资产支持证券。
hive,基于Hadoop的一个数据仓库工具，用来进行数据提取、转化、加载，这是一种可以存储、查询和分析存储在Hadoop中的大规模数据的机制。h
chukwa,一个用于监视大型分布式系统的开源数据收集系统。chukwa构建在hdfs和map/reduce框架之上，继承了hadoop的可扩展性和健壮性。chukwa还包括一个灵活而强大的工具包，用于显示、监视和分析结果，以最佳地利用收集到的数据。
flume,Cloudera提供的一个高可用的，高可靠的，分布式的海量日志采集、聚合和传输的系统，Flume支持在日志系统中定制各类数据发送方，用于收集数据；同时，Flume提供对数据进行简单处理，并写到各种数据接受方（可定制）的能力
caffe,全称Convolutional Architecture for Fast Feature Embedding）是一个兼具表达性、速度和思维模块化的深度学习框架
自动化测试,
时间管理,
scikit-learn,scikit-learn为python中的机器学习库;
架构,
lily hbase indexer,快速、轻松地搜索存储在hbase的任何内容;
acs,思科安全访问控制服务器（cisco secure access control server）
数据可视化,
cordova,是一个使用标准web技术(html、css和javascript)创建跨平台应用的工具
js,JavaScript
spindle,使用scala、spark和parquet处理的下一代web分析;
luci,一种固件脚本语言
nuttx,一个实时嵌入式操作系统（embedded rtos）
v,一种编程语言
存储过程,（Stored Procedure）是在大型数据库系统中，一组为了完成特定功能的SQL 语句集，它存储在数据库中，一次编译后永久有效
mariadb,一种关系型数据库，类似mysql
chartist.js,另一个开源html5图表可视化效果;
silktest,一款用于企业级应用进行功能测试的产品。
postfix,是Wietse Venema在IBM的GPL协议之下开发的MTA（邮件传输代理）软件。
pascal,一种过程式编程语言
excel/vba,
esxi,为运行虚拟机、最大限度降低配置要求和简化部署而设计。
ios,苹果的移动操作系统
phantomjs,一个基于webkit的JavaScript API。它使用QtWebKit作为它核心浏览器的功能，使用webkit来编译解释执行JavaScript代码。
httpclient,
kafka,一款消息队列组件，银行用得比较多
全网测试,指业务涉及普通投资者，面向全体会员进行的系统测试。
android,谷歌的移动操作系统
风险管理,
felix,osgi框架实现及相关技术。
linkedin cleo,为一个一个灵活的软件库，使得局部、无序、实时预输入的搜索实现了快速发展;
webservice,是基于网络的、分布式的模块化组件，它执行特定的任务，遵守具体的技术规范，这些规范使得Web Service能与其他兼容的组件进行交互操作。
ccna,此证书标志着具备安装、配置、运行中型路由和交换网络，并进行故障排除的能力。
mesos,Apache下的开源分布式资源管理框架，它被称为是分布式系统的内核。
pentaho,商业智能平台;
数据库,
empire-db,apache empire-db是为那些在制定查询和dml - statement时努力获得完全sql自由的开发人员而设计的——而不必使用字符串字面量——并且还希望能够控制语句的执行时间和方式。与其他方法不同，empire-db不依赖java注释或映射文件来构建查询，而是使用易于访问和扩展的java对象模型。对于数据访问和数据交换，开发人员可以在传统java bean和record和datalistentry类提供的更复杂的动态接口之间进行选择。empire-db是独立于dbms供应商的，为oracle， microsoft sqlserver， postgresql， mysql， hsqldb， derby， h2等提供处理程序。
puma benchmarking,mapreduce应用的基准测试套件;
memcached,memcache的分支;
chartd,只带img标签的反应灵敏、兼容retina的图表;
grafana,石墨仪表板前端、编辑器和图形组合器;
lua,一个小巧的脚本语言。
requiredjs,一个JavaScript模块加载器。
servicemix,一个建立在jbi (jsr 208)语法规则和apis上的开源esb(enterprise service bus:企业服务总线)
vmsphere,vmware sphere。可靠的虚拟化平台。
中型机,
vsam,Virtual storage access method 虚拟存储访问方法
uat,(User Acceptance Test)，也就是用户验收测试，或用户可接受测试，系统开发生命周期方法论的一个阶段，这时相关的用户或独立测试人员根据测试计划和结果对系统进行测试和接收。
dapr,distributed application runtime
selinux,(Security-Enhanced Linux) 是美国国家安全局（NSA）对于强制访问控制的实现，是 Linux历史上最杰出的新安全子系统。
easytrieve,一种比cobol语言更古老的语言，语法与cobol类似。easytrieve技术也是主机项目开发常用到的技术
bootstrap,Twitter推出的一个用于前端开发的开源工具包。
ssh,SSH是一种网络协议，用于计算机之间的加密登录。
产品研发,
indexr,一个专注于大数据实时分析的分布式列式数据库，它基于HDFS，能快速分析海量结构化数据，支持实时导入并且查询秒级延迟，特别适合ad-hoc场景下的OLAP查询。
full stack,全栈开发，一般包括前端和后端的开发技能
isis,apache isis是一个用java快速开发域驱动应用程序的框架。在实体、域服务和存储库中编写业务逻辑，框架动态地(在运行时)生成该域模型的表示形式，作为webapp或restful api。用于原型或生产。
groovy,一种基于JVM（Java虚拟机）的敏捷开发语言，它结合了Python、Ruby和Smalltalk的许多强大的特性，Groovy 代码能够与 Java 代码很好地结合，也能用于扩展现有代码。
防火墙,
sikuli,MIT的研究人员设计了一种新颖的图形脚本语言Sikuli，计算机用户只须有最基本的编程技能（比如会写printhello world），他不需要去写出一行行代码，而是用屏幕截图的方式，用截出来的图形元素组合出神奇的程序。
datav,数据可视化工具
redash,查询和可视化数据的开源平台;
ctc,
cisc,复杂指令集计算机
k8s,
机器视觉,
uipath,一个rap产品
数据库维护,
batik,batik是一个基于java的工具包，用于应用程序或applet使用可缩放矢量图形(scalable vector graphics， svg)格式的图像实现各种目的，如显示、生成和操作。
berkeley swim benchmark,现实大数据工作负载基准测试;
fpgrowth,数据挖掘领域关联算法
matplotlib,一个 Python 的 2D绘图库
actionscript,flash的脚本语言
jmeter,测试工具
ppp,点对点协议（point to point protocol，ppp）
sequoiadb,一款金融级分布式关系型数据库，其自研的原生分布式存储引擎支持完整 ACID，具备弹性扩展、高并发和高可用特性，支持 MySQL、PostgreSQL 和 SparkSQL 等多种 SQL 访问形式，同时支持MongoDB引擎。
语音识别,
jquery,一个javascript的前端框架
关系型数据库,
hbase coprocessor,为percolator的实现，hbase的一部分;
twemcache,memcache的分支。
olap,一种软件技术，它使分析人员能够迅速、一致、交互地从各个方面观察信息，以达到深入理解数据的目的。
apisix,原生云微服务api网关
crail,是分布式数据处理作业中用于高速共享性能关键数据的存储平台。
ecs,元素构造集（apache esc）是一个用于为各种标记语言生成元素的java api，它直接支持html 4.0和xml，但是可以很容易地扩展为任何标记语言创建标记。
spark,专为大规模数据处理而设计的快速通用的计算引擎
heron,一个实时、分布式、容错的流处理引擎。
airpal,用于prestodb的网页ui;
arm,ARM公司面向市场设计的RISC微处理器。
bugfree,bug管理工具
obiee,oracle的BI工具
giraph,apache giraph是为高可伸缩性而构建的迭代图形处理系统。例如，facebook目前使用它来分析用户及其联系形成的社交图谱。
压力测试,压力测试（Stress Test），也称为强度测试、负载测试。
echarts,百度出的浏览器端的图表组件库
标准模板库,
sei/cmm,Capability Maturity Model 软件能力成熟度模型
shiro,一个强大且易用的Java安全框架，执行身份验证、授权、密码和会话管理。
fluo recipes,apache fluo recipes建立在fluo api之上，为开发人员提供额外的功能。它们根据自己的发布计划与fluo分开发布。这使得fluo recipes可以比fluo更快地迭代和创新(fluo将在较慢的发布周期中保持更小的api)。fluo recipes提供了在fluo api之上实现通用模式的代码。它还为spark和kryo等外部库提供粘合代码。
iaas,Infrastructure as a Service），即基础设施即服务。
prince2,
webapp,
cl,
ldap,
postgres-xl,
shale,shale is a modern web application framework， fundamentally based on javaserver faces.
hunk,hadoop的splunk分析;
cics,
sense,用于数据科学和大数据分析的云平台;
chart.js,开源的html5图表可视化效果;
rat,(release audit tool)是一个用来检查软件许可证发行的准确性和高效性的工具
tez,
schedoscope,hadoop作业敏捷调度的scala dsl;
tableau,商业智能平台;
springmvc,
transformers,
reef,(retainable evaluator execution framework) is a library for developing portable applications for cluster resource managers
knockout.js,
matlab,
axis2,apache axis2是一个服务托管和消费框架，它使使用soap和web服务变得容易
banana,对存储在kibana中solr. port的日志和时戳数据进行可视化;
monkey,android平台的自动化测试工具
深度学习,(英语:deep learning)，是一个多层神经网络是一种机器学习方法。
velocity,一个基于java的模板引擎（template engine）。它允许任何人仅仅简单的使用模板语言（template language）来引用由java代码定义的对象。
akka toolkit,jvm中分布性、容错事件驱动应用程序的运行时间;
cartodb,开源或免费增值的虚拟主机，用于带有强大的前端编辑功能和api的地理空间数据库;
chartio,精益业务智能平台，用于可视化和探索数据;
leveldb,谷歌写的一个快速键-值存储库，它提供了从字符串键到字符串值的有序映射;
talend,用于yarn、hadoop、hbase、hive、hcatalog和pig的统一开源环境;
beego,一个用Go开发的应用框架
drools,基于java的开源的规则引擎组件
jedox palo,定制的商业智能平台;
streampipes,一种自助式(工业)iot工具箱，使非技术用户可以连接，分析和浏览iot数据流
c,一款面向过程的高效的编程语言，一般用于对运行速度有要求的场景
cas,Central Authentication Service的缩写，中央认证服务，一种独立开放指令协议。
mf testing,主机测试
webpack,一个用于现代 JavaScript 应用程序的静态模块打包工具。
ext.js,是一个流行的JavaScript框架，它为使用跨浏览器功能构建Web应用程序提供了丰富的UI。
opennlp,一个用于处理自然语言文本的开源Java库。
yarn,集群管理器;
stado,提供了一个强大而且弹性的分析环境，让用户处理大量数据而不需要昂贵的商业数据仓库
flagon,flagon是一个软件工具可用性测试平台/apache flagon是一套全面的瘦客户端行为日志记录工具
keras,一个由Python编写的开源人工神经网络库，可以作为Tensorflow、Microsoft-CNTK和Theano的高阶应用程序接口，进行深度学习模型的设计、调试、评估、应用和可视化。
wnc,wireless network communications.无线网络通信
airavata,apache airavata是一个基于微服务架构的软件框架，用于在分布式计算资源(包括本地集群、超级计算机、国家网格、学术和商业云)上执行和管理计算作业和工作流。airavata主要用于构建基于web的科学网关，并协助组合、管理、执行和监视大型应用程序(包装为web服务)和由这些服务组成的工作流。
ccie,全称Cisco Certified Internetwork Expert
qlik,商业智能和分析平台;
rru,射频拉远单元，remote radio unit
axure,一款原型设计软件
bokeh,一个功能强大的python交互式可视化库，它针对要展示的现代web浏览器，旨在为d3.js风格的新奇的图形提供优雅简洁的设计，同时在大规模数据或流数据集中，通过高性能交互性来表达这种能力;
golang,用于数据分析的开发语言，也叫go语言
freeboard,针对iot和其他web混搭的开源实时仪表盘构建;
数据分析,
pulsar,云原生分布式消息流平台，集消息、存储、轻量化函数式计算为一体
高可用,
visio,
lucene,搜索引擎库;
神经网络,
fatcache,闪存的键/值缓存;
bahir,扩展到分布式分析平台，如apache spark
oracle,商用关系型数据库
berkeleydb,为键/值数据提供一个高性能的嵌入式数据库的一个软件库;
jenkins,
阿里云,
foxpro,
cocoon,一个基于组件技术和xml和web应用开发框架
ctakes,是一个用于从电子病历临床自由文本中提取信息的开源自然语言处理系统，它处理临床记录，从包括统一医学语言系统(umls)在内的各种词典中识别临床命名实体的类型——药物、疾病/失调、体征/症状、解剖部位和程序。每个命名实体都具有文本跨度、本体映射代码、主题(患者、家庭成员等)和上下文(否定的/未否定的、条件的、通用的、确定性程度)的属性。一些属性被表示为关系，例如临床条件的位置(locationof关系)或临床条件的严重程度(degreeof关系)。
架构师,
渗透测试,渗透测试是通过模拟恶意黑客的攻击方法，来评估计算机网络系统安全的一种评估方法。
tornado,使用Python开发的全栈式（full-stack）Web框架和异步网络库
uniapp,
datastage,
建模,
angular.js,
linkedin azkaban,批处理工作流作业调度;
highcharts,简单而灵活的图表api;
cockroachdb,
mpp,(Massively Parallel Processing)，意为大规模并行处理系统
test partner,
bval,apache bval项目的目标是交付java bean验证规范(jsr303/346)的实现，该实现与tck兼容，并可在java se 6或更高版本上工作。该项目的初始代码库由agimatec gmbh的sga捐赠给asf，并使用apache软件许可2.0版本。
ipo,
mxnet,
mahout,hadoop的机器学习库;
verilog,一种硬件描述语言
restful api,
tso,
netezza,
vega,一个可视化语法;
思维导图,
monkeylearn,使文本挖掘更为容易，从文本中提取分类数据;
vb,
peity,渐进式svg条形图，折线和饼图;
synapse,python写的通讯软件
photoshop,
websphere,
文件系统,
jfs,
meteor,
grails,
asp,
6w2h,
sqlalchemy,
kibana,可视化日志和时间标记数据;
fineract,数字金融服务平台
quartz,
stanbol,一个为语义内容管理设计的模块化的软件堆栈和可重用组件
symbian,
概要设计,
软件架构,
katalon studio,
jira,
coffee.js,
libcloud,是apache下整合多种云服务接口的项目
lte,lte（long term evolution，长期演进)
clearcase,
omega,作业调度和监控系统;
mind manager,
qlikview,
vpn,
tempoiq,基于云的传感器分析;
etch,etch是一个跨平台、语言和传输独立的框架，用于构建和使用网络服务。etch工具集包括一种网络服务描述语言、一个编译器和用于各种编程语言的绑定库。etch也是独立于传输的，允许基于需要和环境使用各种不同的传输。etch的目标是使定义小型、集中的服务变得简单，这些服务可以很容易地以类似的方式访问、组合和部署。有了etch，服务的开发和消费不再像图书馆的开发和消费那样困难。
petri,是一种用于描述离散的、分布式系统的数学建模工具
reactnative,
helpdesk,当信息技术大规模应用于服务行业之后，帮助台概念也被引用进来。最初是应用于it设备密集型行业如金融、电信业，当硬件设备如故障或有麻烦时，人们被告知可以找帮助台的人来解决问题，这个帮助台就是it设备运维中心
slider,一种yarn应用，用来部署yarn中现有的分布式应用程序;
ambari,apache ambari使hadoop集群的供应、管理和监视非常简单。
electron,使用javascript，html和css构建跨平台的桌面应用程序框架
esme,apache esme(企业社交消息传递环境)是一个安全的、高度可伸缩的微共享和微消息传递平台，允许人们在业务流程上下文中互相发现和见面，并获得对其他信息源的受控访问。
分布式数据库,
tidb,
teragoogle,大型搜索索引;
xindice,
oop,面向对象编程
perfdog,
大数据,
redis,
informix,
rpc,
retis,
snappydata,用于实时运营分析的分布式内存数据存储，提供建立在spark单一集成集群中的数据流分析、oltp(联机事务处理)和olap(联机分析处理);
it,
erlang,
warp,利用大数据(os x app)的实例查询工具。
cdma,码分多址
falcon,apache falcon是为hadoop设计的数据处理和管理解决方案，用于数据移动、数据管道协调、生命周期管理和数据发现。falcon使最终消费者能够在hadoop集群上快速加载数据及其相关的处理和管理任务。
docker,
skywalking,
deltacloud,deltacloud包含一个云抽象api——无论是deltacloud经典api、dmtf cimi api，还是ec2 api。每个抽象api都是大量云的包装器，屏蔽了用户的差异。对于每个云提供商，都有一个驱动程序speaking”该云提供商的原生api，使您不必处理每个云api的细节。
metricsgraphic.js,建立在d3之上的库，针对时间序列数据进行最优化;
wds,(wireless distribution system)，无线分布系统
powerbuilder,
zabbix,
tc,
warnier,
windows server,
weex,
spark-graphx,
设计模式,
murex,
drat,drat是rat的map reduce版本，使用apache tika自动对代码基文件进行排序和分类，drat使用apache oodt将这些代码文件的元数据和tika信息索引到apache solr和oodt中，以生成map reduce工作流，drat在k大小的same-mime-typed的文件块(由tika检测)上增量地运行rat，然后生成增量的、每种类型的日志，最后将它们聚合并减少为一个组合日志。
torch,
全栈,
php,
文本分类,
mcse,
madlib,rdbms的用于数据分析的数据处理库;
thingworx,thingworx 是让企业快速创建和运行互联应用程序平台;
db2,
nginx,
hama,hama是一个高效、可扩展的通用bsp计算引擎。
sqlite,一种微型数据库
tapestry,
汇编语言,
业务分析,
devops,
sso,单点登录
面向对象,
pivotalr,pivotal hd / hawq和postgresql中的r;
嵌入式,
ispf,
ipython,为交互式计算提供丰富的架构;
chainsaw,apache chainsaw是一个gui日志查看器。
kyc,know your customer
chubby,一种松耦合分布式系统锁服务;
gridmix3,雅虎工程师团队的hadoop集群基准测试。
项目管理,
jethrodata,交互式大数据分析。
hessian,
eai,
embedded c++,嵌入式c，一般用于芯片或基于芯片的应用的开发
phoenix framework,
graphlab create,python的机器学习平台，包括ml工具包、数据工程和部署工具的广泛集合;
数据结构,
lisp,
spark-mlib,
allura,apache airavata是一个基于微服务架构的软件框架，用于在分布式计算资源(包括本地集群、超级计算机、国家网格、学术和商业云)上执行和管理计算作业和工作流。airavata主要用于构建基于web的科学网关，并协助组合、管理、执行和监视大型应用程序(包装为web服务)和由这些服务组成的工作流。
slick,
pdca,
xgboost,
revel,
dubbo,
it security,
ceph,
业务设计,
fpml,
qa,
infra,
dtmb,digital terrestrial multimedia broadcast，即地面数字多媒体广播
recline,简单但功能强大的库，纯粹利用javascript和html构建数据应用;
jsp,
ue,
gump,gump为各种开放源码项目提供大规模的持续集成。
dolphinscheduler,一个分布式和可扩展的工作流调度平台，具有强大的dag可视化接口
powerdesigner,
qubole,为自动缩放hadoop集群，内置的数据连接器;
parquet,
c/s,客户端/服务器架构
ofbiz,一个非常著名的电子商务平台，是一个非常著名的开源项目，提供了创建基于最新j2ee/xml规范和技术标准，构建大中型企业级、跨平台、跨数据库、跨应用服务器的多层、分布式电子商务类web应用系统的框架
webscalesql,
dos,
atlas,atlas是一组可伸缩和可扩展的核心基础治理服务——使企业能够有效地、高效地满足其在hadoop中的遵从性需求，并允许与整个企业数据生态系统集成。
d3,操作文件的javascript库;
并发,
pandas,
chemistry,apache chemistry提供了内容管理互操作性服务(cmis)规范的开源实现。库可用于java、python、php和。net。
datasketches,一个开源、高性能的流算法库，在数据科学中通常被称为sketches”。sketches是一种小型的、有状态的程序，它以流的形式处理大量数据，并可以提供近似的答案，并提供数学保证，以比传统的精确方法更快的数量级来解决计算困难的查询
samoa,分布式流媒体机器学习框架;
安装实施,
大型机,
数据集市,
华为云,
zookeeper,服务协调
etcml,机器学习文本分类;
bitbucket,
fop,fop(格式化对象处理器)是世界上第一个由xsl格式化对象(xsl- fo)驱动的打印格式化程序，也是世界上第一个独立于输出的格式化程序。它是一个读取格式化对象(fo)树并将结果页面呈现到指定输出的java应用程序。目前支持的输出格式包括pdf、pcl、ps、svg、xml(区域树表示)、print、awt、mif和txt。主要输出目标是pdf。
centos,
spark mllib,spark中一些常用的机器学习(ml)功能的实现;
css,层叠样式表
html,
robotium,
springcloud,
dataworks,
vdi,
webex,
数据湖,
spagobi,开源商业智能平台;
区块链,
mysql cluster,
pivot,一个开放源代码平台，用于构建可安装的internet应用程序
cubism,用于时间序列可视化的javascript库;
功能测试,
sme,
elk,
access,微软的小型数据库
att&ck,
axis,
c3,基于d3可重复使用的图表库;
crossfilter,javascript库，用于在浏览器中探索多元大数据集，用dc.js和d3.js.效果很好;
tensorflow,
calcite,是一个用于编写数据管理系统的框架。它使用可插入查询转换规则将以关系代数表示的查询转换为有效的可执行形式。有一个可选的sql解析器和jdbc驱动程序。calcite不存储数据，也没有首选的执行引擎。数据格式、执行算法、规划规则、操作员类型、元数据和成本模型在运行时作为插件添加。
文本生成,
kibble,apache kibble 是一个活动报告平台，用于收集、汇总、分析和可视化软件项目和社区中的活动
jaspersoft,功能强大的商业智能套件;
lmdb,symas开发的超快、超紧凑的键-值嵌入的式数据存储;
数据标注,
pytorch,
scipy,
mongodb,
cobol,一种应用于主机的开发语言
hue,和hadoop进行交互的web应用程序;
x86,
用例图,
nltk,
车联网,
spacy,Python 和 CPython 的 NLP 自然语言文本处理库。
spring xd,数据摄取、实时分析、批量处理和数据导出的分布式、可扩展系统;
springbatch,
iot,（Internet of Things，简称IoT）是指通过各种信息传感器、射频识别技术、全球定位系统、红外感应器、激光扫描器等各种装置与技术，实时采集任何需要监控、 连接、互动的物体或过程，采集其声、光、热、电、力学、化学、生物、位置等各种需要的信息，通过各类可能的网络接入，实现物与物、物与人的泛在连接，实现对物品和过程的智能化感知、识别和管理
protopie,模拟仿真软件
doris,一个基于mpp的交互式sql数据仓库，用于报告和分析
eagle,apache eagle是一个开源的分析解决方案，用于在大数据平台上立即识别安全和性能问题，例如apache hadoop，spark。它分析了数据活动、yarn应用程序、jmx指标和守护进程日志等，提供了最先进的警报引擎，以识别安全漏洞、性能问题并显示洞察。
perl,一种编程语言
系统架构,
freemarker,
流程图,
数据库设计,
qarun,
ejb,enterprise java bean
mcdipper,闪存的键/值缓存;
b+tree,
主机,
oryx,实时大规模机器学习;
敏捷开发,
